2026-05-22T10:05:43.542444	L2-News-NNG	20	pass	overall=0.933	SNS=0.9175	구어=0.9292	기술=0.9571	뉴스=0.9298	문학=0.9623	일상=0.9209
2026-05-22T10:21:30.951949	L3-Guueh	3	pass	overall=0.933	SNS=0.9175	구어=0.9292	기술=0.9571	뉴스=0.9298	문학=0.9623	일상=0.9209
2026-05-22T10:25:00.023519	L4-VV-VA	9	pass	overall=0.933	SNS=0.9175	구어=0.9292	기술=0.9571	뉴스=0.9298	문학=0.9623	일상=0.9209
2026-05-22T10:26:03.800572	L5-Compound-NNG	0	pass	overall=0.933	SNS=0.9175	구어=0.9292	기술=0.9571	뉴스=0.9298	문학=0.9623	일상=0.9209
2026-05-22T11:25:34.899829	L2-News-NNG	140	reject_overall (delta=-0.0013)	overall=0.9317	SNS=0.9168	구어=0.9269	기술=0.9557	뉴스=0.9286	문학=0.9623	일상=0.9209
2026-05-22T11:26:07.780757	L3-Guueh	37	pass	overall=0.933	SNS=0.9175	구어=0.9292	기술=0.9571	뉴스=0.9298	문학=0.9623	일상=0.9209
2026-05-22T11:26:39.708118	L4-VV-VA	23	pass	overall=0.933	SNS=0.9175	구어=0.9292	기술=0.9571	뉴스=0.9298	문학=0.9623	일상=0.9209
2026-05-22T11:27:14.015899	L5-Compound-NNG	1	pass	overall=0.933	SNS=0.9175	구어=0.9292	기술=0.9571	뉴스=0.9298	문학=0.9623	일상=0.9209
2026-05-22T11:27:47.734508	Wiki-NNG-strict	31	pass	overall=0.933	SNS=0.9175	구어=0.9292	기술=0.9571	뉴스=0.9298	문학=0.9623	일상=0.9209
2026-05-22T11:28:41.699454	Wiki-NNG-3of4	298	reject_overall (delta=-0.0013)	overall=0.9317	SNS=0.9168	구어=0.9269	기술=0.9557	뉴스=0.9286	문학=0.9623	일상=0.9209
